threshold,sensitivity,specificity,accuracy,f1,precision,roc_auc
0.01,0.9868,0.0216,0.1656,0.2607,0.1502,0.7968
0.011,0.9838,0.0229,0.1662,0.2603,0.15,0.7968
0.012,0.9824,0.025,0.1678,0.2604,0.1501,0.7968
0.013,0.9779,0.026,0.168,0.2596,0.1497,0.7968
0.014,0.9779,0.0281,0.1697,0.26,0.1499,0.7968
0.015,0.9779,0.0302,0.1715,0.2604,0.1502,0.7968
0.016,0.9765,0.0314,0.1724,0.2603,0.1502,0.7968
0.017,0.9765,0.0322,0.173,0.2605,0.1503,0.7968
0.018,0.9765,0.034,0.1746,0.2608,0.1505,0.7968
0.019,0.975,0.0356,0.1757,0.2608,0.1505,0.7968
0.02,0.975,0.0363,0.1763,0.2609,0.1506,0.7968
0.021,0.975,0.0376,0.1774,0.2612,0.1508,0.7968
0.022,0.975,0.0384,0.1781,0.2614,0.1509,0.7968
0.023,0.975,0.0394,0.1789,0.2616,0.1511,0.7968
0.024,0.975,0.0412,0.1805,0.2619,0.1513,0.7968
0.025,0.975,0.0433,0.1822,0.2624,0.1516,0.7968
0.026,0.975,0.0446,0.1833,0.2626,0.1518,0.7968
0.027,0.975,0.0469,0.1853,0.2631,0.1521,0.7968
0.028,0.975,0.0487,0.1868,0.2635,0.1523,0.7968
0.029,0.975,0.05,0.1879,0.2637,0.1525,0.7968
0.03,0.9735,0.0523,0.1897,0.2639,0.1526,0.7968
0.031,0.9735,0.0559,0.1928,0.2646,0.1531,0.7968
0.032,0.9735,0.0567,0.1934,0.2647,0.1532,0.7968
0.033,0.9735,0.0577,0.1943,0.265,0.1534,0.7968
0.034,0.9735,0.059,0.1954,0.2652,0.1535,0.7968
0.035,0.9735,0.0598,0.1961,0.2654,0.1537,0.7968
0.036,0.9735,0.0613,0.1974,0.2657,0.1539,0.7968
0.037,0.9735,0.0621,0.198,0.2659,0.154,0.7968
0.038,0.9721,0.0644,0.1998,0.266,0.1541,0.7968
0.039,0.9721,0.0668,0.2018,0.2665,0.1544,0.7968
0.04,0.9721,0.0686,0.2033,0.2669,0.1547,0.7968
0.041,0.9721,0.0704,0.2048,0.2673,0.155,0.7968
0.042,0.9706,0.0709,0.205,0.267,0.1548,0.7968
0.043,0.9706,0.0732,0.207,0.2675,0.1551,0.7968
0.044,0.9706,0.0742,0.2079,0.2677,0.1553,0.7968
0.045,0.9691,0.0747,0.2081,0.2675,0.1552,0.7968
0.046,0.9691,0.0771,0.2101,0.268,0.1555,0.7968
0.047,0.9691,0.0778,0.2107,0.2682,0.1556,0.7968
0.048,0.9691,0.0796,0.2123,0.2686,0.1559,0.7968
0.049,0.9691,0.0807,0.2132,0.2688,0.156,0.7968
0.05,0.9676,0.083,0.2149,0.2689,0.1562,0.7968
0.051,0.9676,0.0845,0.2162,0.2693,0.1564,0.7968
0.052,0.9676,0.0861,0.2175,0.2696,0.1566,0.7968
0.053,0.9676,0.0876,0.2189,0.2699,0.1569,0.7968
0.054,0.9676,0.0889,0.22,0.2702,0.1571,0.7968
0.055,0.9676,0.0897,0.2206,0.2704,0.1572,0.7968
0.056,0.9676,0.0907,0.2215,0.2706,0.1573,0.7968
0.057,0.9676,0.0915,0.2221,0.2708,0.1574,0.7968
0.058,0.9662,0.093,0.2232,0.2708,0.1575,0.7968
0.059,0.9662,0.0948,0.2248,0.2712,0.1577,0.7968
0.06,0.9662,0.0954,0.2252,0.2713,0.1578,0.7968
0.061,0.9662,0.0974,0.227,0.2718,0.1581,0.7968
0.062,0.9662,0.0987,0.2281,0.272,0.1583,0.7968
0.063,0.9662,0.0992,0.2285,0.2721,0.1584,0.7968
0.064,0.9662,0.1003,0.2294,0.2724,0.1586,0.7968
0.065,0.9662,0.1008,0.2298,0.2725,0.1586,0.7968
0.066,0.9662,0.1021,0.2309,0.2728,0.1588,0.7968
0.067,0.9647,0.1039,0.2322,0.2728,0.1589,0.7968
0.068,0.9647,0.1054,0.2336,0.2732,0.1591,0.7968
0.069,0.9632,0.1064,0.2342,0.273,0.1591,0.7968
0.07,0.9632,0.1075,0.2351,0.2733,0.1593,0.7968
0.071,0.9618,0.1088,0.236,0.2732,0.1593,0.7968
0.072,0.9618,0.1111,0.2379,0.2738,0.1596,0.7968
0.073,0.9618,0.1116,0.2384,0.2739,0.1597,0.7968
0.074,0.9618,0.1131,0.2397,0.2742,0.16,0.7968
0.075,0.9618,0.1139,0.2404,0.2744,0.1601,0.7968
0.076,0.9618,0.1157,0.2419,0.2748,0.1604,0.7968
0.077,0.9618,0.1183,0.2441,0.2754,0.1608,0.7968
0.078,0.9618,0.1196,0.2452,0.2757,0.161,0.7968
0.079,0.9603,0.1211,0.2463,0.2757,0.161,0.7968
0.08,0.9603,0.1222,0.2471,0.2759,0.1612,0.7968
0.081,0.9603,0.1232,0.248,0.2762,0.1613,0.7968
0.082,0.9603,0.1242,0.2489,0.2764,0.1615,0.7968
0.083,0.9588,0.125,0.2493,0.2762,0.1614,0.7968
0.084,0.9588,0.1271,0.2511,0.2767,0.1617,0.7968
0.085,0.9574,0.1291,0.2526,0.2768,0.1619,0.7968
0.086,0.9574,0.1307,0.2539,0.2772,0.1621,0.7968
0.087,0.9559,0.132,0.2548,0.2771,0.1621,0.7968
0.088,0.9559,0.1343,0.2568,0.2777,0.1625,0.7968
0.089,0.9559,0.1361,0.2583,0.2781,0.1628,0.7968
0.09,0.9559,0.1374,0.2594,0.2784,0.163,0.7968
0.091,0.9559,0.1394,0.2612,0.2789,0.1633,0.7968
0.092,0.9559,0.1402,0.2618,0.2791,0.1635,0.7968
0.093,0.9559,0.1418,0.2632,0.2795,0.1637,0.7968
0.094,0.9559,0.1433,0.2645,0.2798,0.164,0.7968
0.095,0.9559,0.1456,0.2664,0.2804,0.1644,0.7968
0.096,0.9559,0.1474,0.268,0.2808,0.1646,0.7968
0.097,0.9559,0.1482,0.2686,0.281,0.1648,0.7968
0.098,0.9559,0.1495,0.2697,0.2813,0.165,0.7968
0.099,0.9544,0.1508,0.2706,0.2812,0.165,0.7968
0.1,0.9544,0.1531,0.2726,0.2818,0.1654,0.7968
0.101,0.9544,0.1546,0.2739,0.2822,0.1656,0.7968
0.102,0.9544,0.1564,0.2754,0.2826,0.166,0.7968
0.103,0.9544,0.1575,0.2763,0.2829,0.1661,0.7968
0.104,0.9544,0.1588,0.2774,0.2832,0.1663,0.7968
0.105,0.9544,0.1598,0.2783,0.2834,0.1665,0.7968
0.106,0.9544,0.1613,0.2796,0.2838,0.1668,0.7968
0.107,0.9544,0.1624,0.2805,0.2841,0.1669,0.7968
0.108,0.9544,0.1639,0.2818,0.2845,0.1672,0.7968
0.109,0.9544,0.1655,0.2831,0.2849,0.1675,0.7968
0.11,0.9544,0.1662,0.2838,0.2851,0.1676,0.7968
0.111,0.9544,0.1675,0.2849,0.2854,0.1678,0.7968
0.112,0.9544,0.1698,0.2868,0.286,0.1683,0.7968
0.113,0.9544,0.1706,0.2875,0.2861,0.1684,0.7968
0.114,0.9544,0.1709,0.2877,0.2862,0.1684,0.7968
0.115,0.9529,0.1722,0.2886,0.2861,0.1684,0.7968
0.116,0.9529,0.1742,0.2904,0.2866,0.1688,0.7968
0.117,0.9529,0.1765,0.2923,0.2872,0.1692,0.7968
0.118,0.9529,0.1773,0.293,0.2874,0.1693,0.7968
0.119,0.9515,0.1784,0.2936,0.2873,0.1693,0.7968
0.12,0.9515,0.1804,0.2954,0.2878,0.1697,0.7968
0.121,0.9515,0.1817,0.2965,0.2882,0.1699,0.7968
0.122,0.9515,0.1843,0.2987,0.2888,0.1704,0.7968
0.123,0.9515,0.1851,0.2993,0.289,0.1705,0.7968
0.124,0.95,0.1858,0.2998,0.2888,0.1704,0.7968
0.125,0.9485,0.1871,0.3007,0.2888,0.1704,0.7968
0.126,0.9485,0.1894,0.3026,0.2893,0.1708,0.7968
0.127,0.9485,0.1915,0.3044,0.2899,0.1712,0.7968
0.128,0.9485,0.1925,0.3053,0.2902,0.1714,0.7968
0.129,0.9485,0.1938,0.3064,0.2905,0.1716,0.7968
0.13,0.9485,0.1954,0.3077,0.2909,0.1719,0.7968
